Sentiment,Comment
负面,"周边环境优美,交通便利.早餐种类较少,前台服务态度一般,如多一点热情微笑则更佳."
正面,地理位置极好，性价比很高。虽然房间稍旧，但也算三星强了，能抵上一些四星的宾馆了。
正面,据说这是北海最好的三星级酒店，生意不是一般的好，人气很旺，那天晚上到的时候大堂气氛浓烈，感觉很温馨。房间的卫生间小了点，不过服务好，心里就舒畅了。我住的房间还送早餐、果篮、晚上还有巧克力，最绝的是楼层服务员告诉我网络客人还可以免费烫衣服……哇。晚上大堂副理还电话拜访我，我告诉她电视调不好，她还亲自上来帮我调。总体感觉不错，大堂副理请我帮忙宣传一下，我同意了哈哈。
负面,"入住前询问态度还不错,但是朋友说房间莲蓬头水很小,还漏水,吵的睡不著,隔天要求退房,也许是不同服务人员,态度很差"
正面,房间很新，服务员水平也很高，物有所值。4楼房间太压抑，这次先进了4楼然后不满意很快换到10楼，感觉就好多了。房间临街不吵。酒店的资助晚餐便宜美味有很多海鲜，物超所值。补充点评2008年1月2日：这家酒店我经常入住。在开发区范围内是性价比最好的了。
正面,宾馆在小街道上，不大好找，但还好北京热心同胞很多~宾馆设施跟介绍的差不多，房间很小，确实挺小，但加上低价位因素，还是无超所值的；环境不错，就在小胡同内，安静整洁，暖气好足-_-||。。。呵还有一大优势就是从宾馆出发，步行不到十分钟就可以到梅兰芳故居等等，京味小胡同，北海距离好近呢。总之，不错。推荐给节约消费的自助游朋友~比较划算，附近特色小吃很多~
正面,前台的服务很不错，快捷、周到、让人感觉很好。房间环境还可以，就是床垫太差，躺在上面能感觉到弹簧，该换了。
正面,靠马路的房间晚上睡觉有点吵，房间电熨斗给商务客人带来方便。
正面,"普通标房居然不能看凤凰卫视台等境外节目,第一次感觉是不错的,早餐偏简"
正面,周末出游订了这里的行政房，卧室和客厅有隔墙分开很雅致，室内的装潢以玫瑰红和黑色为主，感觉像是蜜月房，另有台式电脑。唯一不理想的是卫生间和卧室仅用玻璃分开，私密性不足。总体感觉很好，很喜欢里面的大浴缸。
正面,没说的，怎能一个好字了得。可能说香格里拉的环境吧，反正觉得住在这里很惬意。酒店的服务很好，床也很舒服。前面就是一个小草原，还有牛在里面迟早。周边的环境那是安静得不行。不过因为酒店是木结构，楼上走动的声音很容易传到楼下。
未知,前后在华君住了将近10天，基本满意。酒店服务人员彬彬有礼，有服务意识。酒店马路对面有两家小超市，但价格离谱。酒店南、北、东、西步行五分钟内没有大型商业设施，比较安静。门口有818、796、981、314、607、82公交车可换乘地铁2号线，到浦东南路东昌路下。印象最深刻的是，4月8日早上上海下雨，我一手举着伞，一手提着笔记本电脑，站在路边等出租车，这时候一个在门口的工作人员看到，他走出来，站在雨里帮我打车，向他道谢的时候，他一脸笑容地说：你住我们酒店，我很乐意帮助你。”就因为这个细节，以后在选择酒店的时候，我会再次选华君。当然，华君也有它的瑕疵，因为服务是没有止境的，任何一个酒店都会有。但华君出的笑话有点初级了：前台要求客人在预授权交易时签字。（顺便提醒一下：信用卡预授权是制发卡机构或其代理机构在特约商户扣款前，确认许可冻结额度的交易。如果你不结帐就离店，酒店可以申请预授权金额的130%以内的扣款。为了安全，一定不要在确认处签字。万不得已，可以在背面签字，并注明使用用途或者明确金额、日期。）向他们当天值班的某位管理层反映，他居然说“没听说过！”看来华君在现代化管理上还有不短的一段路要走。宾馆反馈2008年4月18日：十分感谢您入住华君酒店，关于您对酒店提出的意见，我们将会向酒店管理层反映并做出改善，真诚期望您能够再次入住我们酒店。谢谢！
负面,虽然房间比较小，有早餐而且性价比较高；我同时预定了3个房间，却竟然给安排在三个角落上，不知道怎么能这样补充点评2007年10月29日：还有：网速非常之慢，是我住过所有酒店里最慢的
正面,"酒店整体感觉还行,但是地毯不干净,需要清洗."
正面,1前台态度差、一律告知没有标间，而且前台标的优惠价格我看目的就是诱使客人住高标；2房间设施陈旧，维护差，冬季温度上不来，房间骚扰电话频繁。3离店办理手续效率低；我比较了解长春，这个酒店也就是离火车站近一点，其他根本没有优势，而且火车站附近的快捷酒店多的是，推荐选其他的。建议携程清除这家酒店，而且携程应该定期考察、清理一些不合格的酒店，否则影响携程预定的满意度。
正面,酒店位置离火车站很近，走路10分钟不到就能到。。。服务不错，有送果篮，但是部分水果有点烂烂的。。。我觉得既然要送，就送好一点的，不然干脆就别送了。。。酒店整体不错，房间也很好。。
